Location;Institute;Year of publication;Study;Scenario;Year of H2 demand;Value;Unit;Abbreviation;Rererence;Notes
Germany;FENES (Franz Bauer);2022;Analyse von Suffizienzpotenzialen im Kontext einer nachhaltigen Transformation des deutschen Energiesystems anhand eines sektorübergreifenden Optimierungsmodells;BioVeg;2050;570;TWh (H2);FENES-B-BioVeg;;
Germany;FENES (Franz Bauer);2022;Analyse von Suffizienzpotenzialen im Kontext einer nachhaltigen Transformation des deutschen Energiesystems anhand eines sektorübergreifenden Optimierungsmodells;Wohnen;2050;584;TWh (H2);FENES-B-Wohnen;;
Germany;FENES (Franz Bauer);2022;Analyse von Suffizienzpotenzialen im Kontext einer nachhaltigen Transformation des deutschen Energiesystems anhand eines sektorübergreifenden Optimierungsmodells;Verkehr;2050;554;TWh (H2);FENES-B-Verkehr;;
Germany;FENES (Franz Bauer);2022;Analyse von Suffizienzpotenzialen im Kontext einer nachhaltigen Transformation des deutschen Energiesystems anhand eines sektorübergreifenden Optimierungsmodells;Konsum;2050;494;TWh (H2);FENES-B-Konsum;;
Germany;FENES (Alexander Meisinger);2023;Auf dem Weg zu einer deutsch-französischen Energiewende: Ein kostenbasiertes sektorgekoppeltes Optimierungsmodell unter Berücksichtigung des Europäischen Green Deals;DE-FR;2020;3;TWh (H2);FENES-M-DE-FR;;
Germany;FENES (Alexander Meisinger);2023;Auf dem Weg zu einer deutsch-französischen Energiewende: Ein kostenbasiertes sektorgekoppeltes Optimierungsmodell unter Berücksichtigung des Europäischen Green Deals;DE-FR;2025;41;TWh (H2);FENES-M-DE-FR;;
Germany;FENES (Alexander Meisinger);2023;Auf dem Weg zu einer deutsch-französischen Energiewende: Ein kostenbasiertes sektorgekoppeltes Optimierungsmodell unter Berücksichtigung des Europäischen Green Deals;DE-FR;2030;110;TWh (H2);FENES-M-DE-FR;;
Germany;FENES (Alexander Meisinger);2023;Auf dem Weg zu einer deutsch-französischen Energiewende: Ein kostenbasiertes sektorgekoppeltes Optimierungsmodell unter Berücksichtigung des Europäischen Green Deals;DE-FR;2035;199;TWh (H2);FENES-M-DE-FR;;
Germany;FENES (Alexander Meisinger);2023;Auf dem Weg zu einer deutsch-französischen Energiewende: Ein kostenbasiertes sektorgekoppeltes Optimierungsmodell unter Berücksichtigung des Europäischen Green Deals;DE-FR;2040;366;TWh (H2);FENES-M-DE-FR;;
Germany;FENES (Alexander Meisinger);2023;Auf dem Weg zu einer deutsch-französischen Energiewende: Ein kostenbasiertes sektorgekoppeltes Optimierungsmodell unter Berücksichtigung des Europäischen Green Deals;DE-FR;2045;554;TWh (H2);FENES-M-DE-FR;;
Germany;FENES (Alexander Meisinger);2023;Auf dem Weg zu einer deutsch-französischen Energiewende: Ein kostenbasiertes sektorgekoppeltes Optimierungsmodell unter Berücksichtigung des Europäischen Green Deals;DE-FR;2050;562;TWh (H2);FENES-M-DE-FR;;
Germany;Agora;2021;Klimaneutrales Deutschland 45;KN 2045;2025;1;TWh (H2);Agora-KN2045;https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fstatic.agora-energiewende.de%2Ffileadmin%2FProjekte%2F2021%2F2021_04_KNDE45%2F2021-09-08_Klimaneutrales_Deutschland_2045_Datenanhang_1.0.xlsx&wdOrigin=BROWSELINK;
Germany;Agora;2021;Klimaneutrales Deutschland 45;KN 2045;2030;63;TWh (H2);Agora-KN2045;https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fstatic.agora-energiewende.de%2Ffileadmin%2FProjekte%2F2021%2F2021_04_KNDE45%2F2021-09-08_Klimaneutrales_Deutschland_2045_Datenanhang_1.0.xlsx&wdOrigin=BROWSELINK;
Germany;Agora;2021;Klimaneutrales Deutschland 45;KN 2045;2035;137;TWh (H2);Agora-KN2045;https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fstatic.agora-energiewende.de%2Ffileadmin%2FProjekte%2F2021%2F2021_04_KNDE45%2F2021-09-08_Klimaneutrales_Deutschland_2045_Datenanhang_1.0.xlsx&wdOrigin=BROWSELINK;
Germany;Agora;2021;Klimaneutrales Deutschland 45;KN 2045;2040;223;TWh (H2);Agora-KN2045;https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fstatic.agora-energiewende.de%2Ffileadmin%2FProjekte%2F2021%2F2021_04_KNDE45%2F2021-09-08_Klimaneutrales_Deutschland_2045_Datenanhang_1.0.xlsx&wdOrigin=BROWSELINK;
Germany;Agora;2021;Klimaneutrales Deutschland 45;KN 2045;2045;265;TWh (H2);Agora-KN2045;https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fstatic.agora-energiewende.de%2Ffileadmin%2FProjekte%2F2021%2F2021_04_KNDE45%2F2021-09-08_Klimaneutrales_Deutschland_2045_Datenanhang_1.0.xlsx&wdOrigin=BROWSELINK;
Germany;BDI;2021;Klimapfade 2.0;Klimapfade 2.0;2030;43;TWh (H2);BDI-Klimapfade 2.0;https://issuu.com/bdi-berlin/docs/211021_bdi_klimapfade_2.0_-_gesamtstudie_-_vorabve;
Germany;BDI;2021;Klimapfade 2.0;Klimapfade 2.0;2045;237;TWh (H2);BDI-Klimapfade 2.0;https://issuu.com/bdi-berlin/docs/211021_bdi_klimapfade_2.0_-_gesamtstudie_-_vorabve;
Germany;Dena;2021;dena-Leitstudie Aufbruch Klimaneutralität;KN100;2030;66;TWh (H2);Dena-KN100;https://www.dena.de/newsroom/meldungen/dena-leitstudie-aufbruch-klimaneutralitaet/;
Germany;Dena;2021;dena-Leitstudie Aufbruch Klimaneutralität;KN100;2045;458;TWh (H2);Dena-KN100;https://www.dena.de/newsroom/meldungen/dena-leitstudie-aufbruch-klimaneutralitaet/;
Germany;Dena;2021;dena-Leitstudie Aufbruch Klimaneutralität;Efficient Electrons;2030;65;TWh (H2);Dena-Efficient Electrons;https://www.dena.de/newsroom/meldungen/dena-leitstudie-aufbruch-klimaneutralitaet/;
Germany;Dena;2021;dena-Leitstudie Aufbruch Klimaneutralität;Efficient Electrons;2045;402;TWh (H2);Dena-Efficient Electrons;https://www.dena.de/newsroom/meldungen/dena-leitstudie-aufbruch-klimaneutralitaet/;
Germany;Dena;2021;dena-Leitstudie Aufbruch Klimaneutralität;More Electrons;2030;65;TWh (H2);Dena-More Electrons;https://www.dena.de/newsroom/meldungen/dena-leitstudie-aufbruch-klimaneutralitaet/;
Germany;Dena;2021;dena-Leitstudie Aufbruch Klimaneutralität;More Electrons;2045;450;TWh (H2);Dena-More Electrons;https://www.dena.de/newsroom/meldungen/dena-leitstudie-aufbruch-klimaneutralitaet/;
Germany;Dena;2021;dena-Leitstudie Aufbruch Klimaneutralität;Efficient Moleculs;2030;68;TWh (H2);Dena-Efficient Molecules;https://www.dena.de/newsroom/meldungen/dena-leitstudie-aufbruch-klimaneutralitaet/;
Germany;Dena;2021;dena-Leitstudie Aufbruch Klimaneutralität;Efficient Moleculs;2045;454;TWh (H2);Dena-Efficient Molecules;https://www.dena.de/newsroom/meldungen/dena-leitstudie-aufbruch-klimaneutralitaet/;
Germany;Dena;2021;dena-Leitstudie Aufbruch Klimaneutralität;More Moleculs;2030;68;TWh (H2);Dena-More Molecules;https://www.dena.de/newsroom/meldungen/dena-leitstudie-aufbruch-klimaneutralitaet/;
Germany;Dena;2021;dena-Leitstudie Aufbruch Klimaneutralität;More Moleculs;2045;505;TWh (H2);Dena-More Molecules;https://www.dena.de/newsroom/meldungen/dena-leitstudie-aufbruch-klimaneutralitaet/;
Germany;Kopernikus;2022;4. Roadmap des Kopernikus-Projektes P2X Phase II: OPTIONEN FÜR EIN NACHHALTIGES ENERGIESYSTEM MIT POWER-TO-XTECHNOLOGIEN;Basis;2020;0;TWh (H2);Kopernikus-4.0 Roadmap-Basis;https://www.kopernikus-projekte.de/lw_resource/datapool/systemfiles/elements/files/EC7C18F68BCE7C0DE0537E695E86F60F/live/document/221025_DEC_P2X4_V08_Web.pdf;
Germany;Kopernikus;2022;4. Roadmap des Kopernikus-Projektes P2X Phase II: OPTIONEN FÜR EIN NACHHALTIGES ENERGIESYSTEM MIT POWER-TO-XTECHNOLOGIEN;Basis;2030;91,1;TWh (H2);Kopernikus-4.0 Roadmap-Basis;https://www.kopernikus-projekte.de/lw_resource/datapool/systemfiles/elements/files/EC7C18F68BCE7C0DE0537E695E86F60F/live/document/221025_DEC_P2X4_V08_Web.pdf;
Germany;Kopernikus;2022;4. Roadmap des Kopernikus-Projektes P2X Phase II: OPTIONEN FÜR EIN NACHHALTIGES ENERGIESYSTEM MIT POWER-TO-XTECHNOLOGIEN;Basis;2040;406,4;TWh (H2);Kopernikus-4.0 Roadmap-Basis;https://www.kopernikus-projekte.de/lw_resource/datapool/systemfiles/elements/files/EC7C18F68BCE7C0DE0537E695E86F60F/live/document/221025_DEC_P2X4_V08_Web.pdf;
Germany;Kopernikus;2022;4. Roadmap des Kopernikus-Projektes P2X Phase II: OPTIONEN FÜR EIN NACHHALTIGES ENERGIESYSTEM MIT POWER-TO-XTECHNOLOGIEN;Basis;2045;639,5;TWh (H2);Kopernikus-4.0 Roadmap-Basis;https://www.kopernikus-projekte.de/lw_resource/datapool/systemfiles/elements/files/EC7C18F68BCE7C0DE0537E695E86F60F/live/document/221025_DEC_P2X4_V08_Web.pdf;
Germany;Kopernikus;2022;4. Roadmap des Kopernikus-Projektes P2X Phase II: OPTIONEN FÜR EIN NACHHALTIGES ENERGIESYSTEM MIT POWER-TO-XTECHNOLOGIEN;Basis;2050;648,5;TWh (H2);Kopernikus-4.0 Roadmap-Basis;https://www.kopernikus-projekte.de/lw_resource/datapool/systemfiles/elements/files/EC7C18F68BCE7C0DE0537E695E86F60F/live/document/221025_DEC_P2X4_V08_Web.pdf;
Germany;Kopernikus;2022;4. Roadmap des Kopernikus-Projektes P2X Phase II: OPTIONEN FÜR EIN NACHHALTIGES ENERGIESYSTEM MIT POWER-TO-XTECHNOLOGIEN;Suffizienz;2020;0;TWh (H2);Kopernikus-4.0 Roadmap-Suf;https://www.kopernikus-projekte.de/lw_resource/datapool/systemfiles/elements/files/EC7C18F68BCE7C0DE0537E695E86F60F/live/document/221025_DEC_P2X4_V08_Web.pdf;
Germany;Kopernikus;2022;4. Roadmap des Kopernikus-Projektes P2X Phase II: OPTIONEN FÜR EIN NACHHALTIGES ENERGIESYSTEM MIT POWER-TO-XTECHNOLOGIEN;Suffizienz;2030;53,3;TWh (H2);Kopernikus-4.0 Roadmap-Suf;https://www.kopernikus-projekte.de/lw_resource/datapool/systemfiles/elements/files/EC7C18F68BCE7C0DE0537E695E86F60F/live/document/221025_DEC_P2X4_V08_Web.pdf;
Germany;Kopernikus;2022;4. Roadmap des Kopernikus-Projektes P2X Phase II: OPTIONEN FÜR EIN NACHHALTIGES ENERGIESYSTEM MIT POWER-TO-XTECHNOLOGIEN;Suffizienz;2040;309,2;TWh (H2);Kopernikus-4.0 Roadmap-Suf;https://www.kopernikus-projekte.de/lw_resource/datapool/systemfiles/elements/files/EC7C18F68BCE7C0DE0537E695E86F60F/live/document/221025_DEC_P2X4_V08_Web.pdf;
Germany;Kopernikus;2022;4. Roadmap des Kopernikus-Projektes P2X Phase II: OPTIONEN FÜR EIN NACHHALTIGES ENERGIESYSTEM MIT POWER-TO-XTECHNOLOGIEN;Suffizienz;2045;536,5;TWh (H2);Kopernikus-4.0 Roadmap-Suf;https://www.kopernikus-projekte.de/lw_resource/datapool/systemfiles/elements/files/EC7C18F68BCE7C0DE0537E695E86F60F/live/document/221025_DEC_P2X4_V08_Web.pdf;
Germany;Kopernikus;2022;4. Roadmap des Kopernikus-Projektes P2X Phase II: OPTIONEN FÜR EIN NACHHALTIGES ENERGIESYSTEM MIT POWER-TO-XTECHNOLOGIEN;Suffizienz;2050;526,3;TWh (H2);Kopernikus-4.0 Roadmap-Suf;https://www.kopernikus-projekte.de/lw_resource/datapool/systemfiles/elements/files/EC7C18F68BCE7C0DE0537E695E86F60F/live/document/221025_DEC_P2X4_V08_Web.pdf;
Germany;Ariadne;2021;Deutschland auf dem Weg zur Klimaneutralität 2045;REMIND - 8Gt_H2_Dom;2020;4,08;TWh (H2);Ariadne-REMIND-8Gt_H2_Dom;https://data.ece.iiasa.ac.at/ariadne/#/workspaces/20;
Germany;Ariadne;2021;Deutschland auf dem Weg zur Klimaneutralität 2045;REMIND - 8Gt_H2_Dom;2025;4,39;TWh (H2);Ariadne-REMIND-8Gt_H2_Dom;https://data.ece.iiasa.ac.at/ariadne/#/workspaces/20;
Germany;Ariadne;2021;Deutschland auf dem Weg zur Klimaneutralität 2046;REMIND - 8Gt_H2_Dom;2030;5,3;TWh (H2);Ariadne-REMIND-8Gt_H2_Dom;https://data.ece.iiasa.ac.at/ariadne/#/workspaces/20;
Germany;Ariadne;2021;Deutschland auf dem Weg zur Klimaneutralität 2047;REMIND - 8Gt_H2_Dom;2035;51,98;TWh (H2);Ariadne-REMIND-8Gt_H2_Dom;https://data.ece.iiasa.ac.at/ariadne/#/workspaces/20;
Germany;Ariadne;2021;Deutschland auf dem Weg zur Klimaneutralität 2048;REMIND - 8Gt_H2_Dom;2040;171,39;TWh (H2);Ariadne-REMIND-8Gt_H2_Dom;https://data.ece.iiasa.ac.at/ariadne/#/workspaces/20;
Germany;Ariadne;2021;Deutschland auf dem Weg zur Klimaneutralität 2049;REMIND - 8Gt_H2_Dom;2045;285,61;TWh (H2);Ariadne-REMIND-8Gt_H2_Dom;https://data.ece.iiasa.ac.at/ariadne/#/workspaces/20;
Germany;Ariadne;2021;Deutschland auf dem Weg zur Klimaneutralität 2050;REMIND - 8Gt_H2_Dom;2050;344,48;TWh (H2);Ariadne-REMIND-8Gt_H2_Dom;https://data.ece.iiasa.ac.at/ariadne/#/workspaces/20;
Germany;Ariadne;2021;Deutschland auf dem Weg zur Klimaneutralität 2051;REMod_8GT_H2_Dom;2020;0;TWh (H2);Ariadne-ReMod-8Gt_H2_Dom;https://data.ece.iiasa.ac.at/ariadne/#/workspaces/20;
Germany;Ariadne;2021;Deutschland auf dem Weg zur Klimaneutralität 2052;REMod_8GT_H2_Dom;2025;16,02;TWh (H2);Ariadne-ReMod-8Gt_H2_Dom;https://data.ece.iiasa.ac.at/ariadne/#/workspaces/20;
Germany;Ariadne;2021;Deutschland auf dem Weg zur Klimaneutralität 2053;REMod_8GT_H2_Dom;2030;56,48;TWh (H2);Ariadne-ReMod-8Gt_H2_Dom;https://data.ece.iiasa.ac.at/ariadne/#/workspaces/20;
Germany;Ariadne;2021;Deutschland auf dem Weg zur Klimaneutralität 2054;REMod_8GT_H2_Dom;2035;175,13;TWh (H2);Ariadne-ReMod-8Gt_H2_Dom;https://data.ece.iiasa.ac.at/ariadne/#/workspaces/20;
Germany;Ariadne;2021;Deutschland auf dem Weg zur Klimaneutralität 2055;REMod_8GT_H2_Dom;2040;307,04;TWh (H2);Ariadne-ReMod-8Gt_H2_Dom;https://data.ece.iiasa.ac.at/ariadne/#/workspaces/20;
Germany;Ariadne;2021;Deutschland auf dem Weg zur Klimaneutralität 2056;REMod_8GT_H2_Dom;2045;411,35;TWh (H2);Ariadne-ReMod-8Gt_H2_Dom;https://data.ece.iiasa.ac.at/ariadne/#/workspaces/20;
Germany;Ariadne;2021;Deutschland auf dem Weg zur Klimaneutralität 2057;REMod_8GT_H2_Dom;2050;422,3;TWh (H2);Ariadne-ReMod-8Gt_H2_Dom;https://data.ece.iiasa.ac.at/ariadne/#/workspaces/20;
Europe;Fraunhofer ISI;2021;Wasserstoffsystem Europa Erzeugung T45;T45-Strom;2025;8;TWh (H2);F-ISI-S;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/50859/f1ae0f4718eadd10758e005b640b88a9;
Europe;Fraunhofer ISI;2021;Wasserstoffsystem Europa Erzeugung T46;T45-Strom;2030;107;TWh (H2);F-ISI-S;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/50859/f1ae0f4718eadd10758e005b640b88a10;
Europe;Fraunhofer ISI;2021;Wasserstoffsystem Europa Erzeugung T47;T45-Strom;2035;275;TWh (H2);F-ISI-S;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/50859/f1ae0f4718eadd10758e005b640b88a11;
Europe;Fraunhofer ISI;2021;Wasserstoffsystem Europa Erzeugung T48;T45-Strom;2040;700;TWh (H2);F-ISI-S;https://enertile-explorer.isi.fraunhofer.de:8443/open-view/50859/f1ae0f4718eadd10758e005b640b88a12;
